Company,Rating,Position,Salary,Size,Founded,Type,Industry,Sector,Revenue,Location
CommerceIQ,4.0,Data Scientist (BE/ B-tech 4-6 yrs),"Employer Provided Salary:₹2,500K - ₹3,500K",51 to 200 Employees,2012,Company - Private,Internet,Information Technology,$10 to $25 million (USD),Bangalore
Applied Materials Inc.,4.0,Data Scientist,,10000+ Employees,1967,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD),Bangalore
"BreathX Technologies Pvt Ltd, A Canary Global Inc. company",,Data Scientist (2-3 years exp),,Unknown,,Company - Public,,,Unknown / Non-Applicable,Bangalore
Ninestars Information Technologies,2.5,Junior Data Scientist,Employer Provided Salary:₹400K,Unknown,,Company - Private,,,Unknown / Non-Applicable,Bangalore
GO-JEK,4.2,Data Scientist 2,,1001 to 5000 Employees,2010,Company - Private,Transportation Management,Transportation & Logistics,Unknown / Non-Applicable,Bangalore
Oracle,3.7,Data Scientist 1,,10000+ Employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),Bangalore
Infosys Limited,3.9,Senior Data Scientist,,10000+ Employees,1981,Company - Public,IT Service,Information Technology,$10+ billion (USD),Bangalore
HP,4.2,Data Scientist,,10000+ Employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Bangalore
"JPMorgan Chase Bank, N.A.",3.7,WM Data Scientist,,10000+ Employees,1799,Subsidiary or Business Segment,Banks & Building Society,Finance,$10+ billion (USD),Bangalore
Standard Chartered,3.8,Data Scientist - Document Digitization,,10000+ Employees,1969,Company - Public,Investment Banking & Asset Management,Finance,$10 to $25 million (USD),Bangalore
PwC,3.9,Finance Data Scientist - Associate,,10000+ Employees,1998,Company - Private,Accounting,Accounting & Legal,$5 to $10 billion (USD),Bangalore
HP,4.2,Data Scientist/ML Engineer,,10000+ Employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Bangalore
Polaris Inc.,3.8,Data Scientist,,10000+ Employees,1954,Company - Public,Transport Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),Bangalore
Proziod Analytics,4.3,Data Scientist,Employer Provided Salary:₹500K - ₹800K,1 to 50 Employees,2016,Company - Private,IT Service,Information Technology,Less than $1 million (USD),Bangalore
Flipkart,4.2,Senior Data Scientist,,10000+ Employees,2007,Company - Private,Internet,Information Technology,$5 to $10 billion (USD),Bangalore
Infosys Limited,3.9,Data Science Professional,,10000+ Employees,1981,Company - Public,IT Service,Information Technology,$10+ billion (USD),Bangalore
Mercedes-Benz Research and Development India Private Limited,3.9,Data Scientist-Mathematical Optimizations And Reliability,,10000+ Employees,1965,Subsidiary or Business Segment,Vehicle Dealership,Retail,$10+ billion (USD),Bangalore
Honeywell,3.7,Data Scientist,,10000+ Employees,1885,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),Bangalore
Walmart Global Tech India,3.3,Data Scientist - IN3,,1001 to 5000 Employees,1994,Company - Public,General Merchandise & Superstore,Retail,$10+ billion (USD),Bangalore
Cervello Inc,3.9,Data Scientist,,51 to 200 Employees,2009,Company - Private,IT Service,Information Technology,$10 to $25 million (USD),Bangalore
West Pharmaceutical Services,3.5,"Data Scientist, D&T",,5001 to 10000 Employees,1923,Company - Public,Health Care Product Manufacturing,Manufacturing,$1 to $2 billion (USD),Bangalore
HDFC Bank,3.6,RAU-Data Scientist,,10000+ Employees,1995,Company - Public,Banks & Building Society,Finance,$10+ billion (USD),Bangalore
Canum Infotech,,Data Scientist,,1 to 50 Employees,,Company - Public,,,Unknown / Non-Applicable,Bangalore
PayPal,4.3,Data Scientist 1,,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),Bangalore
HP,4.2,EBP AI/ML Data Scientist,,10000+ Employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Bangalore
Ausy Technologies,4.3,Data Scientist,"Employer Provided Salary:₹1,800K",501 to 1000 Employees,1995,Company - Public,IT Service,Information Technology,$100 to $500 million (USD),Bangalore
PayPal,4.3,Senior Data Scientist,,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),Bangalore
Simpli Namdhari,1.0,Data Analytics Internship,Employer Provided Salary:₹120K - ₹180K,501 to 1000 Employees,,Company - Private,,,Unknown / Non-Applicable,Bangalore
Honeywell,3.7,Data Scientist II,,10000+ Employees,1885,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),Bangalore
Intel,4.2,Lead Data Scientist,,10000+ Employees,1968,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),Bangalore
Randstad,3.9,junior data scientist,,10000+ Employees,1960,Company - Public,Staffing & Outsourcing,Business Service,$10+ billion (USD),Bangalore
Arista Networks,4.2,Data Scientist,,1001 to 5000 Employees,2004,Company - Public,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),Bangalore
Business Toys,5.0,Data Analytics Internship,Employer Provided Salary:₹60K,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,Bangalore
Siemens Technology and Services Private Limited,4.1,Machine Learning with Python,,10000+ Employees,1843,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD),Bangalore
Infosys Limited,3.9,Artificial Intelligence & Machine Learning Experts,,10000+ Employees,1981,Company - Public,IT Service,Information Technology,$10+ billion (USD),Bangalore
Thanu Associates,1.7,Senior Data Scientist,"Employer Provided Salary:₹766K - ₹1,651K",1 to 50 Employees,,Company - Private,Accounting,Accounting & Legal,$1 to $5 million (USD),Bangalore
TARGET,4.4,Sr. Data Scientist,,10000+ Employees,1962,Company - Public,General Merchandise & Superstore,Retail,$10+ billion (USD),Bangalore
Smiths Detection,2.6,Data Scientist,,5001 to 10000 Employees,1940,Subsidiary or Business Segment,Health Care Product Manufacturing,Manufacturing,$1 to $2 billion (USD),Bangalore
CoStrategix,3.5,Data Scientist,,51 to 200 Employees,2006,Company - Private,IT Service,Information Technology,Unknown / Non-Applicable,Bangalore
Genpact,3.8,Business Analyst - Data Scientist,,10000+ Employees,1997,Company - Public,IT Service,Information Technology,$2 to $5 billion (USD),Bangalore
Aruba Networks,4.1,Data Scientist,,5001 to 10000 Employees,2002,Company - Public,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),Bangalore
Niramai,4.0,Data Scientist,,Unknown,,Company - Private,,,Unknown / Non-Applicable,Bangalore
Great Learning,4.2,Data Scientist,,1001 to 5000 Employees,2013,Company - Private,Education Training Service,Education,$10 to $25 million (USD),Bangalore
sharechat,4.2,Data Scientist I / II - Camera Intelligence,,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,Bangalore
Elpis IT Solutions,3.9,Data Scientist,"Employer Provided Salary:₹600K - ₹1,600K",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,Bangalore
Microsoft,4.4,Applied Scientist 2,,10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),Bangalore
Cumulations Technologies,4.7,Data Scientist,,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,Bangalore
Concentrix,3.9,Concentrix Innovation Labs is Hiring AI/ML Engineer,,10000+ Employees,2004,Company - Public,Staffing & Outsourcing,Business Service,$2 to $5 billion (USD),Bangalore
IBM,3.9,Data Scientist: Advanced Analytics,,10000+ Employees,1911,Company - Public,IT Service,Information Technology,$10+ billion (USD),Bangalore
Multirecruit,4.4,Data Scientist,"Employer Provided Salary:₹1,450K - ₹1,650K",1 to 50 Employees,2013,Company - Private,Staffing & Outsourcing,Business Service,$100 to $500 million (USD),Bangalore
Siemens Technology and Services Private Limited,4.1,Data Science Engineer,,10000+ Employees,1843,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD),Bangalore
Skoruz,3.7,Data Scientist,,201 to 500 Employees,2007,Company - Private,IT Service,Information Technology,$10 to $25 million (USD),Bangalore
Epsilon India,4.0,Data Scientist 2,,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,Bangalore
PayPal,4.3,Data Scientist 1,,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),Bangalore
Infosys Limited,3.9,Artificial Intelligence & Machine Learning Experts,,10000+ Employees,1981,Company - Public,IT Service,Information Technology,$10+ billion (USD),Bangalore
Siemens Technology and Services Private Limited,4.1,Machine Learning with Python,,10000+ Employees,1843,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD),Bangalore
Business Toys,5.0,Data Analytics Internship,Employer Provided Salary:₹60K,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,Bangalore
Concentrix,3.9,Concentrix Innovation Labs is Hiring AI/ML Engineer,,10000+ Employees,2004,Company - Public,Staffing & Outsourcing,Business Service,$2 to $5 billion (USD),Bangalore
Honeywell,3.7,Data Scientist II,,10000+ Employees,1885,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),Bangalore
Vision Netsoft Pvt. Ltd.,,Data Science Engineer,"Employer Provided Salary:₹520K - ₹1,813K",Unknown,,Company - Private,,,Unknown / Non-Applicable,Bangalore
EY,3.8,AI/ML Engineer,,10000+ Employees,1989,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD),Bangalore
Bidgely,2.9,Sr. Data Scientist / Machine learning Expert,,51 to 200 Employees,2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Bangalore
Siemens Technology and Services Private Limited,4.1,Data Science Engineer,,10000+ Employees,1843,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD),Bangalore
Interactions,3.7,NLP Engineer/Scientist,Employer Provided Salary:₹401K,501 to 1000 Employees,2004,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),Bangalore
sybill,3.2,Applied ML engineer,"Employer Provided Salary:₹2,500K - ₹5,500K",1001 to 5000 Employees,1962,Non-profit Organisation,Social Services,Non-Profit,$50 to $100 million (USD),Bangalore
Randstad,3.9,junior data scientist,,10000+ Employees,1960,Company - Public,Staffing & Outsourcing,Business Service,$10+ billion (USD),Bangalore
Empower Retirement,4.0,Analyst Data Science Analytics,,5001 to 10000 Employees,1907,Company - Private,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),Bangalore
Myntra.com,4.1,Associate – Marketing Analytics,,1001 to 5000 Employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Bangalore
DataRobot,3.8,Data Science Trainer,,1001 to 5000 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Bangalore
Scientific Games,3.6,Data Science QA Engineer,Employer Provided Salary:₹537K,5001 to 10000 Employees,1984,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),Bangalore
loyalytics consulting,4.5,Data Scientist,"Employer Provided Salary:₹800K - ₹1,000K",1 to 50 Employees,2015,Company - Private,IT Service,Information Technology,Unknown / Non-Applicable,Bangalore
Great Learning,4.2,Data Scientist,,1001 to 5000 Employees,2013,Company - Private,Education Training Service,Education,$10 to $25 million (USD),Bangalore
Reverie Language Technologies,4.5,"Tech Lead - NLP, Conversational AI",,51 to 200 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Bangalore
Infosys Limited,3.9,Lead Analyst- Data Science,,10000+ Employees,1981,Company - Public,IT Service,Information Technology,$10+ billion (USD),Bangalore
Blue Ocean Ventures,2.8,Data Scientist,,51 to 200 Employees,,Company - Private,Staffing & Outsourcing,Business Service,Unknown / Non-Applicable,Bangalore
Pattern Effects Labs,3.2,Data Scientist,,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,Bangalore
FICO,3.9,Lead Data Scientist,,1001 to 5000 Employees,1956,Company - Public,Computer Hardware & Software,Information Technology,$500 million to $1 billion (USD),Bangalore
Honeywell,3.7,Sr Advanced Data Scientist,,10000+ Employees,1885,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),Bangalore
Perfios,4.3,Applied Scientist,,501 to 1000 Employees,2008,Company - Private,IT Service,Information Technology,Unknown / Non-Applicable,Bangalore
PayPal,4.3,Data Scientist 1,,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),Bangalore
DataRobot,3.8,Data Science Trainer,,1001 to 5000 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Bangalore
Concentrix,3.9,Concentrix Innovation Labs is Hiring AI/ML Engineer,,10000+ Employees,2004,Company - Public,Staffing & Outsourcing,Business Service,$2 to $5 billion (USD),Bangalore
Myntra.com,4.1,Associate – Marketing Analytics,,1001 to 5000 Employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Bangalore
Vision Netsoft Pvt. Ltd.,,Data Science Engineer,"Employer Provided Salary:₹520K - ₹1,813K",Unknown,,Company - Private,,,Unknown / Non-Applicable,Bangalore
Interactions,3.7,NLP Engineer/Scientist,Employer Provided Salary:₹401K,501 to 1000 Employees,2004,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),Bangalore
Scientific Games,3.6,Data Science QA Engineer,Employer Provided Salary:₹537K,5001 to 10000 Employees,1984,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),Bangalore
Blue Ocean Ventures,2.8,Data Scientist,,51 to 200 Employees,,Company - Private,Staffing & Outsourcing,Business Service,Unknown / Non-Applicable,Bangalore
Pattern Effects Labs,3.2,Data Scientist,,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,Bangalore
sybill,3.2,Applied ML engineer,"Employer Provided Salary:₹2,500K - ₹5,500K",1001 to 5000 Employees,1962,Non-profit Organisation,Social Services,Non-Profit,$50 to $100 million (USD),Bangalore
EY,3.8,AI/ML Engineer,,10000+ Employees,1989,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD),Bangalore
Reverie Language Technologies,4.5,"Tech Lead - NLP, Conversational AI",,51 to 200 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Bangalore
Bidgely,2.9,Sr. Data Scientist / Machine learning Expert,,51 to 200 Employees,2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Bangalore
Empower Retirement,4.0,Analyst Data Science Analytics,,5001 to 10000 Employees,1907,Company - Private,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),Bangalore
Adobe,4.4,T&O/Data Science Analyst,,10000+ Employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),Bangalore
CloudThat Technologies Pvt. Ltd.,4.6,AI & ML Trainer,,51 to 200 Employees,,Company - Private,,,Unknown / Non-Applicable,Bangalore
Adobe,4.4,ML Engineer,,10000+ Employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),Bangalore
Perfios,4.3,Applied Scientist,,501 to 1000 Employees,2008,Company - Private,IT Service,Information Technology,Unknown / Non-Applicable,Bangalore
Infosys Limited,3.9,Lead Analyst- Data Science,,10000+ Employees,1981,Company - Public,IT Service,Information Technology,$10+ billion (USD),Bangalore
WaterScience,4.0,Business Analytics & MIS Internship,Employer Provided Salary:₹240K,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,Bangalore
Course5,3.4,ML Engineer,,1001 to 5000 Employees,2000,Company - Private,Consulting,Business Service,$100 to $500 million (USD),Bangalore
loyalytics consulting,4.5,Data Scientist,Employer Provided Salary:₹500K - ₹900K,1 to 50 Employees,2015,Company - Private,IT Service,Information Technology,Unknown / Non-Applicable,Bangalore
ThoughtFocus,4.0,Engineer - AI,,1001 to 5000 Employees,2004,Company - Private,IT Service,Information Technology,Unknown / Non-Applicable,Bangalore
PayPal,4.3,Data Scientist 1,,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),Bangalore
Novartis,4.2,"Data Scientist, II",,10000+ Employees,1996,Company - Public,Biotech & Pharmaceutical,Biotech & Pharmaceutical,$10+ billion (USD),Hyderabad
Kroll,,Data Scientist II,,1001 to 5000 Employees,2004,Subsidiary or Business Segment,Advertising & Marketing,Business Service,$100 to $500 million (USD),Hyderabad
Indeed,4.3,Product: Data Scientist,"Employer Provided Salary:₹2,700K - ₹4,060K",10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),Hyderabad
Honeywell,3.7,Sr Advanced Data Scientist,,10000+ Employees,1885,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),Hyderabad
Yash Technologies,3.7,Data Scientist - MLOps,,1001 to 5000 Employees,1996,Company - Private,IT Service,Information Technology,$100 to $500 million (USD),Hyderabad
Kline &amp; Company,3.5,Data Scientist,,51 to 200 Employees,1959,Company - Private,Consulting,Business Service,$10 to $25 million (USD),Hyderabad
247 Global Recruit,,Senior Data Scientist,"Employer Provided Salary:₹426K - ₹1,477K",Unknown,,Company - Public,,,Unknown / Non-Applicable,Hyderabad
GD Research Center,3.4,Data Scientist,,1001 to 5000 Employees,2004,Company - Public,Research & Development,Business Service,Unknown / Non-Applicable,Hyderabad
Sutherland,3.7,Associate Professional - Data Scientist / Analytics,,10000+ Employees,1986,Company - Private,Staffing & Outsourcing,Business Service,$1 to $2 billion (USD),Hyderabad
Tanla Solutions,4.2,Data Scientist,,501 to 1000 Employees,1999,Company - Public,Telecommunications Service,Telecommunication,$100 to $500 million (USD),Hyderabad
Infocrunch Analytics,2.9,Data Science Internship,Employer Provided Salary:₹300K,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,Hyderabad
Sutherland,3.7,Professional - Data Scientist / Analytics,,10000+ Employees,1986,Company - Private,Staffing & Outsourcing,Business Service,$1 to $2 billion (USD),Hyderabad
Careers at Tide,4.1,Data Scientist,,501 to 1000 Employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Hyderabad
Uber,4.3,Data Analytics Specialist - Global A&I,,10000+ Employees,2009,Company - Public,Internet,Information Technology,$10+ billion (USD),Hyderabad
