Company,Rating,Position,Salary,Size,Founded,Type,Industry,Sector,Revenue,Location
MINDBODY,3.8,Business Intelligence Analyst I,₹332K - ₹524K (Glassdoor Est.),1001 to 5000 Employees,2001,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Pune
NICE Actimize,3.7,Tech Manager Data Scientist,₹184K - ₹307K (Glassdoor Est.),501 to 1000 Employees,1999,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Pune
Ecolab,3.7,Senior Data Scientist,₹246K - ₹485K (Glassdoor Est.),10000+ Employees,1923,Company - Public,Chemical Manufacturing,Manufacturing,$10+ billion (USD),Pune
Aera Technology,4.3,Senior Data Scientist,,201 to 500 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Pune
Evolent Health,3.6,"Data Analyst, Integration Quality- Intern, On contract",,1001 to 5000 Employees,2011,Company - Public,Healthcare Services & Hospital,Healthcare,$25 to $50 million (USD),Pune
AssetOne,,AI/Machine Learning Engineer,,Unknown,,Company - Public,,,Unknown / Non-Applicable,Pune
Siemens Technology and Services Private Limited,4.1,Data Scientist – Smart Building Analytics,,10000+ Employees,1843,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD),Pune
Peak,3.0,Senior Data Scientist,,51 to 200 Employees,2012,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),Pune
CIEL HR Services,4.2,CIEL/SEL/18750: Data Scientist,₹200K - ₹642K (Glassdoor Est.),201 to 500 Employees,2015,Company - Private,Staffing & Outsourcing,Business Service,$25 to $50 million (USD),Pune
Evolent Health,3.6,Sr Data Scientist,,1001 to 5000 Employees,2011,Company - Public,Healthcare Services & Hospital,Healthcare,$25 to $50 million (USD),Pune
Wolters Kluwer,3.7,Senior Data Scientist (Full-Stack + Dev Ops),₹515K - ₹665K (Glassdoor Est.),10000+ Employees,1836,Company - Public,Consulting,Business Service,$2 to $5 billion (USD),Pune
Icertis,4.0,Principal Data Scientist,₹609K - ₹939K (Glassdoor Est.),1001 to 5000 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Pune
Emerson,3.8,Operations Analytics & Data Scientist,₹548K - ₹747K (Glassdoor Est.),10000+ Employees,1890,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD),Pune
Wolters Kluwer,3.7,Lead Data Scientist,,10000+ Employees,1836,Company - Public,Consulting,Business Service,$2 to $5 billion (USD),Pune
Bajaj FinServ,3.4,Senior Data Scientist/Senior Data Scientist,₹204K - ₹480K (Glassdoor Est.),10000+ Employees,,Subsidiary or Business Segment,Lending,Finance,Unknown / Non-Applicable,Pune
QuinStreet,3.9,Data Analyst,₹420K - ₹750K (Glassdoor Est.),501 to 1000 Employees,1999,Company - Public,Advertising & Marketing,Business Service,$500 million to $1 billion (USD),Pune
Workday,4.2,Senior Data Scientist – Audit and Analytics (Pune Based),₹383K - ₹734K (Glassdoor Est.),10000+ Employees,2005,Company - Public,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),Pune
Citco,3.3,Data Analyst,₹557K - ₹781K (Glassdoor Est.),5001 to 10000 Employees,1948,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,Pune
Easebuzz,3.3,Senior Data Scientist,₹347K - ₹753K (Glassdoor Est.),1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,Pune
ArrayGen Technologies,3.4,Data Scientist( Statistics Specialization),,1 to 50 Employees,,Company - Private,Biotech & Pharmaceutical,Biotech & Pharmaceutical,Unknown / Non-Applicable,Pune
DeepIntent,4.7,Data Analyst,₹300K - ₹430K (Glassdoor Est.),51 to 200 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Pune
Aera Technology,4.3,Machine Learning Engineer,₹324K - ₹640K (Glassdoor Est.),201 to 500 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Pune
KNOREX,3.4,Data Engineer (ETL),₹468K - ₹784K (Glassdoor Est.),51 to 200 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Pune
Foghorn Systems,4.1,Machine Learning Engineer,₹299K - ₹640K (Glassdoor Est.),51 to 200 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Pune
MathWorks,4.4,"Application Engineer, Data Science",₹456K - ₹680K (Glassdoor Est.),5001 to 10000 Employees,1984,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),Pune
TIGI HR SOLUTION,5.0,Data Analyst,₹230K - ₹491K (Glassdoor Est.),1 to 50 Employees,2016,Company - Private,Staffing & Outsourcing,Business Service,Less than $1 million (USD),Pune
Barclays,4.0,Machine Learning Engineer,,10000+ Employees,1690,Company - Public,Banks & Building Society,Finance,$10+ billion (USD),Pune
AppZen,3.8,Machine Learning Engineer,₹252K - ₹447K (Glassdoor Est.),201 to 500 Employees,2012,Company - Private,Financial Transaction Processing,Finance,$5 to $10 million (USD),Pune
ZS Associates,4.0,Data Science Consultant,,5001 to 10000 Employees,1983,Company - Private,Consulting,Business Service,Unknown / Non-Applicable,Pune
Barclays,4.0,Data Analyst,₹750K - ₹812K (Glassdoor Est.),10000+ Employees,1690,Company - Public,Banks & Building Society,Finance,$10+ billion (USD),Pune
Briq,4.0,Data Analyst,,51 to 200 Employees,2018,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Pune
Netrix LLC,3.7,Data Analyst,₹216K - ₹550K (Glassdoor Est.),201 to 500 Employees,1989,Company - Private,IT Service,Information Technology,$100 to $500 million (USD),Pune
Aligned Automation,5.0,Data Scientist & ML Engineer Lead DL,₹300K - ₹636K (Glassdoor Est.),51 to 200 Employees,,Company - Private,,,Unknown / Non-Applicable,Pune
DataMetica,3.9,"Sr. Data Scientist - R, Python",,201 to 500 Employees,2013,Company - Private,IT Service,Information Technology,$25 to $50 million (USD),Pune
Bechtel,4.0,"HR Data Analyst - New Delhi, IN",,10000+ Employees,1898,Company - Private,Architectural & Engineering Service,Business Service,$10+ billion (USD),DelhiNCR
Bechtel,4.0,Data Engineer - Python with Azure ADF,₹624K - ₹714K (Glassdoor Est.),10000+ Employees,1898,Company - Private,Architectural & Engineering Service,Business Service,$10+ billion (USD),DelhiNCR
MobiKwik,4.0,Data Scientist,"₹970K - ₹1,000K (Glassdoor Est.)",201 to 500 Employees,2009,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable,DelhiNCR
Siemens Technology and Services Private Limited,4.1,Data Scientist,,10000+ Employees,1843,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD),DelhiNCR
Novo,4.2,Data Scientist,₹450K - ₹821K (Glassdoor Est.),51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,DelhiNCR
MasterCard,4.2,Data Scientist,₹729K - ₹909K (Glassdoor Est.),10000+ Employees,1966,Company - Public,Financial Transaction Processing,Finance,$5 to $10 billion (USD),DelhiNCR
Genpact,3.8,Assistant Manager - Data Scientist,₹512K - ₹711K (Glassdoor Est.),10000+ Employees,1997,Company - Public,IT Service,Information Technology,$2 to $5 billion (USD),DelhiNCR
United Airlines,4.1,Analyst - Data Scientist,₹247K - ₹703K (Glassdoor Est.),10000+ Employees,1926,Company - Public,Airline,Travel & Tourism,$10+ billion (USD),DelhiNCR
ADCI - Haryana,4.3,Data Scientist,₹618K - ₹868K (Glassdoor Est.),10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),DelhiNCR
Donaldson,3.8,Data Scientist,,10000+ Employees,1915,Company - Public,Miscellaneous Manufacturing,Manufacturing,$2 to $5 billion (USD),DelhiNCR
Analytics Vidhya,3.9,Data Scientist,₹500K - ₹816K (Glassdoor Est.),1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,DelhiNCR
Gartner,3.8,Data Scientist/ Sr Data Scientist,₹168K - ₹480K (Glassdoor Est.),10000+ Employees,1979,Company - Public,Consulting,Business Service,$2 to $5 billion (USD),DelhiNCR
Profisor Services,4.5,Data Scientist,₹500K - ₹816K (Glassdoor Est.),1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,DelhiNCR
itForte,5.0,Data Analyst/Scientist,,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,DelhiNCR
Verisk,4.0,"Data Scientist (Python, SQL, Power BI)",,5001 to 10000 Employees,1971,Company - Public,Research & Development,Business Service,$2 to $5 billion (USD),DelhiNCR
The Luxury Closet,3.4,Data Scientist,,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,DelhiNCR
Axslogic,4.3,Data Scientist,,51 to 200 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,DelhiNCR
The Search House,5.0,Data Analyst/Scientist,₹250K - ₹546K (Glassdoor Est.),1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,DelhiNCR
Mount Talent Consulting,3.7,Data Scientist,,201 to 500 Employees,2007,Company - Private,Consulting,Business Service,Unknown / Non-Applicable,DelhiNCR
Nihilent,3.5,Data Scientist,₹300K - ₹808K (Glassdoor Est.),1001 to 5000 Employees,2000,Company - Private,IT Service,Information Technology,$100 to $500 million (USD),DelhiNCR
Ericsson,4.1,Data Scientist,,10000+ Employees,1876,Company - Public,Telecommunications Service,Telecommunication,$10+ billion (USD),DelhiNCR
WSD Consultant,,Junior Data Scientist/ta,₹480K - ₹786K (Glassdoor Est.),Unknown,,Company - Private,,,Unknown / Non-Applicable,DelhiNCR
Barclays,4.0,Data Scientist,₹743K - ₹858K (Glassdoor Est.),10000+ Employees,1690,Company - Public,Banks & Building Society,Finance,$10+ billion (USD),DelhiNCR
WinZO,4.7,Data Scientist,,51 to 200 Employees,2018,Company - Private,Video Game,Media,Unknown / Non-Applicable,DelhiNCR
Genpact,3.8,Business Analyst - Data Scientist,₹500K - ₹750K (Glassdoor Est.),10000+ Employees,1997,Company - Public,IT Service,Information Technology,$2 to $5 billion (USD),DelhiNCR
Crowe,3.8,Data Scientist,,1001 to 5000 Employees,1942,Company - Private,Accounting,Accounting & Legal,$500 million to $1 billion (USD),DelhiNCR
Lantern Digital Services,3.5,Data Scientist,,Unknown,,Company - Private,,,Unknown / Non-Applicable,DelhiNCR
Team Computers,4.1,Data Scientist,₹275K - ₹400K (Glassdoor Est.),1001 to 5000 Employees,1987,Company - Private,IT Service,Information Technology,$100 to $500 million (USD),DelhiNCR
"ESRI, Inc.",4.0,Data Scientist,₹400K - ₹800K (Glassdoor Est.),1001 to 5000 Employees,1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),DelhiNCR
Ank Aha,4.0,Data Scientist,₹500K - ₹715K (Glassdoor Est.),1 to 50 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,DelhiNCR
Priority Vendor,3.7,Data Scientist,₹300K - ₹850K (Glassdoor Est.),51 to 200 Employees,2014,Company - Private,,Finance,Unknown / Non-Applicable,DelhiNCR
Biz2Credit Inc,3.9,Data Scientist,,201 to 500 Employees,2007,Company - Private,Lending,Finance,$100 to $500 million (USD),DelhiNCR
Fitfyles,,Data Scientist,,Unknown,,Company - Private,,,Unknown / Non-Applicable,DelhiNCR
Mahajan Imaging,4.0,Data Scientist,,Unknown,,Company - Private,,,Unknown / Non-Applicable,DelhiNCR
Amex,4.2,Engineer / Senior Engineer - Data Engineer,"₹857K - ₹1,046K (Glassdoor Est.)",10000+ Employees,1850,Company - Public,Financial Transaction Processing,Finance,$10+ billion (USD),DelhiNCR
Gauge Data Solutions,3.0,Data Scientist,,1 to 50 Employees,,Company - Private,IT Service,Information Technology,Unknown / Non-Applicable,DelhiNCR
Saffron Consultancy Services,,Data Scientist,₹300K - ₹784K (Glassdoor Est.),Unknown,,Company - Private,,,Unknown / Non-Applicable,DelhiNCR
Data Patterns,3.1,Data Scientist,₹500K - ₹816K (Glassdoor Est.),51 to 200 Employees,,Company - Private,IT Service,Information Technology,$500 million to $1 billion (USD),DelhiNCR
Maruti Suzuki India Ltd,4.0,Data Scientist - Digital Enterprise,₹739K - ₹901K (Glassdoor Est.),10000+ Employees,,Company - Public,Transport Equipment Manufacturing,Manufacturing,$10+ billion (USD),DelhiNCR
Techlive,5.0,Data Scientist,,51 to 200 Employees,,Company - Private,IT Service,Information Technology,Unknown / Non-Applicable,DelhiNCR
Valiance Solutions,4.2,Data Scientist (Credit Risk),,1 to 50 Employees,2014,Company - Private,IT Service,Information Technology,$1 to $5 million (USD),DelhiNCR
WishFin,3.8,Data Scientist,,501 to 1000 Employees,,Company - Private,,,Unknown / Non-Applicable,DelhiNCR
MasterCard,4.2,Manager - Data Scientist,₹658K - ₹946K (Glassdoor Est.),10000+ Employees,1966,Company - Public,Financial Transaction Processing,Finance,$5 to $10 billion (USD),DelhiNCR
xtLytics,,Data Scientist,,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,DelhiNCR
Innovacer,3.8,Data Scientist,₹636K - ₹915K (Glassdoor Est.),501 to 1000 Employees,2014,Company - Private,Healthcare Services & Hospital,Healthcare,Unknown / Non-Applicable,DelhiNCR
Algoscale,3.8,Data Scientist,₹669K - ₹720K (Glassdoor Est.),1 to 50 Employees,2014,Company - Private,IT Service,Information Technology,Unknown / Non-Applicable,DelhiNCR
Amex,4.2,Business Analyst/Assistant Manager - Data Science & Analytics,,10000+ Employees,1850,Company - Public,Financial Transaction Processing,Finance,$10+ billion (USD),DelhiNCR
ADCI - Karnataka,4.3,Data Scientist II,₹618K - ₹900K (Glassdoor Est.),10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),DelhiNCR
SearchUrCollege,,Data Scientist,,Unknown,,Company - Private,,,Unknown / Non-Applicable,DelhiNCR
Maruti Suzuki India Ltd,4.0,Data Analyst,,10000+ Employees,,Company - Public,Transport Equipment Manufacturing,Manufacturing,$10+ billion (USD),DelhiNCR
ADCI - Haryana,4.3,Data Engineer,₹279K - ₹480K (Glassdoor Est.),10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),DelhiNCR
Chegg,4.2,Senior Data Scientist,,1001 to 5000 Employees,2005,Company - Public,Consumer Product Rental,Consumer Service,$100 to $500 million (USD),DelhiNCR
Analytics Vidhya,3.9,Data Science Internship,,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,DelhiNCR
Innefu Labs Pvt. Ltd.,3.9,DATA SCIENTIST,,51 to 200 Employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,DelhiNCR
Applicate IT Solutions Private Limited,3.1,Data Science Internship,,51 to 200 Employees,2014,Company - Private,IT Service,Information Technology,$1 to $5 million (USD),DelhiNCR
Greenlight Planet,4.5,Machine Learning Engineer,₹522K - ₹742K (Glassdoor Est.),1001 to 5000 Employees,,Company - Private,Energy,"Oil, Gas, Energy & Utility",$50 to $100 million (USD),DelhiNCR
Randstad,4.0,data scientist,,10000+ Employees,1960,Company - Public,Staffing & Outsourcing,Business Service,$10+ billion (USD),DelhiNCR
dunnhumby,4.1,Applied Data Scientist,,1001 to 5000 Employees,1989,Company - Private,Consulting,Business Service,$500 million to $1 billion (USD),DelhiNCR
Talent Integrators,3.9,Data Scientist (NLP),,Unknown,,Unknown,,,Unknown / Non-Applicable,DelhiNCR
Junglee Games,4.2,Applied Scientist,₹288K - ₹713K (Glassdoor Est.),201 to 500 Employees,2012,Company - Private,Sport & Recreation,"Arts, Entertainment & Recreation",$25 to $50 million (USD),DelhiNCR
S&amp;P Global,4.1,Lead Data Scientist,₹835K - ₹885K (Glassdoor Est.),10000+ Employees,1888,Company - Public,Financial Analytics & Research,Finance,$5 to $10 billion (USD),DelhiNCR
Greenlight Planet,4.5,Data Analyst,₹370K - ₹665K (Glassdoor Est.),1001 to 5000 Employees,,Company - Private,Energy,"Oil, Gas, Energy & Utility",$50 to $100 million (USD),DelhiNCR
Michael Page IN,,Senior Data Scientist,₹280K - ₹640K (Glassdoor Est.),201 to 500 Employees,,Company - Private,Security Service,Business Service,Unknown / Non-Applicable,DelhiNCR
Carlson Wagonlit Travel,4.2,Data Analyst,₹299K - ₹600K (Glassdoor Est.),10000+ Employees,1994,Company - Private,Travel Agency,Travel & Tourism,$2 to $5 billion (USD),DelhiNCR
EY,3.8,Tech Consulting-RPA-Senior – Data Science,₹675K - ₹845K (Glassdoor Est.),10000+ Employees,1989,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD),DelhiNCR
itForte,5.0,Data Scientist for Gurgaon,,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,DelhiNCR
Dürr Somac GmbH,,Machine Learning Engineer/ Data Scientist,,Unknown,,Company - Private,,,Unknown / Non-Applicable,DelhiNCR
Genpact,3.8,DG - Manager - Data Scientist,₹254K - ₹308K (Glassdoor Est.),10000+ Employees,1997,Company - Public,IT Service,Information Technology,$2 to $5 billion (USD),DelhiNCR
CBRE,3.9,Sr Data Engineer,₹275K - ₹408K (Glassdoor Est.),10000+ Employees,1906,Company - Public,Real Estate,Real Estate,Unknown / Non-Applicable,DelhiNCR
TRS Staffing,4.0,Data Analyst,,201 to 500 Employees,1985,Contract,Staffing & Outsourcing,Business Service,$100 to $500 million (USD),DelhiNCR
Aristocrat Technologies,3.9,Data Analyst,₹200K - ₹650K (Glassdoor Est.),5001 to 10000 Employees,1953,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),DelhiNCR
McKinsey &amp; Company,4.4,Data Science - Optimus AI,,10000+ Employees,1926,Company - Private,Consulting,Business Service,Unknown / Non-Applicable,DelhiNCR
dunnhumby,4.1,Senior Research Data Scientist,₹670K - ₹800K (Glassdoor Est.),1001 to 5000 Employees,1989,Company - Private,Consulting,Business Service,$500 million to $1 billion (USD),DelhiNCR
Honeywell,3.7,Data Analyst,₹379K - ₹695K (Glassdoor Est.),10000+ Employees,1885,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),DelhiNCR
Mahindra Comviva,3.5,Data Analyst,,1001 to 5000 Employees,1999,Company - Private,IT Service,Information Technology,$50 to $100 million (USD),DelhiNCR
dunnhumby,4.1,Senior Applied Data Scientist,,1001 to 5000 Employees,1989,Company - Private,Consulting,Business Service,$500 million to $1 billion (USD),DelhiNCR
Dürr IT Services India,4.0,Machine Learning Engineer/ Data Scientist,₹292K - ₹609K (Glassdoor Est.),10000+ Employees,,Company - Public,Industrial Manufacturing,Manufacturing,$2 to $5 billion (USD),DelhiNCR
dunnhumby,4.1,Applied Data Science Manager,₹850K - ₹944K (Glassdoor Est.),1001 to 5000 Employees,1989,Company - Private,Consulting,Business Service,$500 million to $1 billion (USD),DelhiNCR
Fidelity International,4.2,Data Analyst,,5001 to 10000 Employees,1969,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,DelhiNCR
Greenlight Planet,4.5,Data Engineer,,1001 to 5000 Employees,,Company - Private,Energy,"Oil, Gas, Energy & Utility",$50 to $100 million (USD),DelhiNCR
Novo,4.2,Data Analyst,,51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,DelhiNCR
Genpact,3.8,Manager - Data Scientist,₹391K - ₹562K (Glassdoor Est.),10000+ Employees,1997,Company - Public,IT Service,Information Technology,$2 to $5 billion (USD),DelhiNCR
Gartner,3.8,Data Engineer- MDM(attacama),,10000+ Employees,1979,Company - Public,Consulting,Business Service,$2 to $5 billion (USD),DelhiNCR